Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Plain White T's,Hey There Delilah ,"7,815","10,103,645",Chords,novice, D,No Capo, E A D G B E
Imagine Dragons,Radioactive,"16,411","9,646,730",Chords,novice, Bm, 2nd fret, E A D G B E
Extreme,More Than Words,"4,270","9,582,233",Chords,intermediate, G,No Capo, Eb Ab Db Gb Bb Eb
Plain White T's,Hey There Delilah ,"3,815","9,466,024",Tab,intermediate, D,No Capo, E A D G B E
The Beatles,Hey Jude,"2,493","9,385,429",Chords,intermediate, F,No Capo, E A D G B E
Adele,Rolling In The Deep,"1,243","9,207,520",Chords,intermediate,Db,No Capo, E A D G B 
Eric Clapton,Tears In Heaven,"4,188","9,054,292",Tab,advanced, A,No Capo, E A D G B E
Jason Mraz,Im Yours,"2,343","8,982,960",Chords,novice, B,No Capo, E A D G B E
Green Day,Boulevard Of Broken Dreams ,"7,237","8,864,879",Chords,novice, Em, 1st fret, E A D G B E
Sam Smith,Stay With Me,"5,093","8,850,891",Chords,novice, Am,No Capo, E A D G B E
Kodaline,All I Want,"7,459","8,848,206",Chords,novice, C,No Capo, E A D G B E
Bruno Mars,Just The Way You Are,"3,857","8,778,319",Chords,novice, F, 3rd fret, E A D G B E
Ed Sheeran,The A Team Acoustic,"4,515","8,693,966",Chords,intermediate, A, 2nd fret, E A D G B E
Red Hot Chili Peppers,Under The Bridge,"2,241","8,661,431",Tab,intermediate, E,No Capo, E A D G B E
OneRepublic,Counting Stars,"5,914","8,542,468",Chords,intermediate, Am, 4th fret, E A D G B E
Johnny Cash,Hurt,"10,727","8,490,664",Chords,novice, Am,No Capo, E A D G B E
John Lennon,Imagine,"7,917","8,370,296",Chords,intermediate, C,No Capo, E A D G B E
Christina Perri,Jar Of Hearts,"3,879","8,306,419",Chords,novice, Cm, 1st fret, E A D G B E
Green Day,Good Riddance Time Of Your Life,"10,551","8,142,348",Chords,novice, G,No Capo, E A D G B E
The Animals,House Of The Rising Sun,"7,500","8,008,449",Chords,novice, Am,No Capo, E A D G B E
Taylor Swift,You Belong With Me ,"5,300","7,875,537",Chords,novice, F#, 4th fret, E A D G B E
Eagles,Hotel California,"15,298","7,828,362",Chords,novice, Bm, 2nd fret, E A D G B E
Pink Floyd,Wish You Were Here ,"2,473","7,824,756",Tab,novice, C,No Capo, E A D G B E
Coldplay,Fix You ,"6,749","7,759,633",Chords,novice, Eb, 3rd fret, E A D G B E
Metallica,One ,"2,798","7,574,596",Tab,intermediate, Bm,No Capo,E A D G B E
Green Day,Wake Me Up When September Ends ,"3,015","7,552,887",Tab,intermediate, G,No Capo, E A D G B E
Adele,Someone Like You,"9,885","7,448,482",Chords,novice, G, 2nd fret, E A D G B E
Bruno Mars,Grenade,"2,342","7,405,219",Chords,intermediate, Dm,No Capo, E A D G B E
Metallica,Fade To Black ,"2,209","7,390,749",Tab,intermediate, Am,No Capo, E A D G B E
Snow Patrol,Chasing Cars,"4,986","7,324,066",Chords,novice, A,No Capo, E A D G B E
The Fray,How To Save A Life,"3,262","7,320,778",Chords,intermediate, G, 3rd fret, E A D G B E
The Script,Breakeven,"2,958","7,234,731",Chords,novice, Em, 3rd fret, E A D G B E
Misc Cartoons,Frozen - Let It Go,"3,962","7,063,525",Chords,intermediate, G, 1st fret, E A D G B E
Rihanna,Stay,"4,835","7,050,875",Chords,novice, C,No Capo, E A D G B E
Misc Soundtrack,A Star Is Born - Shallow,"16,186","7,012,149",Chords,novice, E,No Capo, E A D G B E
The Beatles,Yesterday,"4,574","6,966,328",Chords,intermediate, F,No Capo, E A D G B E
A Great Big World,Say Something ,"6,072","6,949,917",Chords,novice, Bm,No Capo, E A D G B E
Creedence Clearwater Revival,Have You Ever Seen The Rain,"11,310","6,942,944",Chords,novice, C,No Capo, E A D G B E
Adele,When We Were Young,"6,786","6,909,347",Chords,novice, Cm, 3rd fret, E A D G B E
James Blunt,Youre Beautiful ,"2,970","6,777,892",Chords,novice, G, 8th fret, E A D G B E
James Arthur,Say You Wont Let Go ,"9,227","6,703,879",Chords,intermediate, G, 3rd fret, E A D G B E
Metallica,Enter Sandman ,"1,985","6,681,989",Tab,intermediate, Em,No Capo, E A D G B E
Metallica,Master Of Puppets ,"2,798","6,668,902",Tab,intermediate, Em,No Capo, E A D G B E
Lynyrd Skynyrd,Sweet Home Alabama Intro,"1,215","6,642,033",Tab,intermediate, D,No Capo, E A D G B E
Sam Smith,Im Not The Only One,"4,606","6,634,231",Chords,intermediate, F,No Capo, E A D G B E
The Lumineers,Ho Hey ,"5,429","6,629,377",Chords,novice, C,No Capo, E A D G B E
Death Cab for Cutie,I Will Follow You Into The Dark ,"8,217","6,418,598",Chords,novice, Am, 5th fret, E A D G B E
P!nk,Just Give Me A Reason,"2,450","6,411,118",Chords,novice, G,No Capo, E A D G B E
Don McLean,American Pie,"8,926","6,409,193",Chords,novice, G,No Capo, E A D G B E
Foster the People,Pumped Up Kicks,"3,452","6,375,105",Chords,intermediate, Fm,No Capo, E A D G B E
The Script,The Man Who Cant Be Moved,"2,179","6,374,771",Chords,intermediate, G, 3rd fret, E A D G B E
Lewis Capaldi,Someone You Loved,"13,055","6,344,820",Chords,novice, C#, 1st fret, E A D G B E
Bon Iver,Skinny Love ,"2,966","6,338,020",Chords,novice, Am,No Capo, E A D G B E
Oasis,Wonderwall ,"3,585","6,294,940",Chords,novice, F#m, 2nd fret, E A D G B E
The Cranberries,Zombie,"8,898","6,201,729",Chords,novice, Em,No Capo, E A D G B E
John Denver,Take Me Home Country Roads ,"10,127","6,141,961",Chords,novice, A, 2nd fret, E A D G B E
Nirvana,Smells Like Teen Spirit,"2,559","6,089,169",Tab,intermediate, F,No Capo, E A D G B E
Misc Soundtrack,A Star Is Born - Shallow ,"9,835","6,066,147",Chords,novice, G,No Capo, E A D G B E
Mumford & Sons,Little Lion Man,"3,468","5,943,697",Chords,novice,Db, 5th fre, E A D G B E
Kings of Leon,Use Somebody ,"2,163","5,851,237",Chords,intermediate, C,No Capo, E A D G B E
David Guetta,Titanium ,"4,884","5,841,356",Chords,novice, F, 3rd fret, E A D G B E
Armada,Harusnya Aku,208,"5,791,697",Chords,intermediate, C,No Capo, E A D G B E
Gotye,Somebody That I Used To Know ,"2,518","5,785,810",Chords,novice, Dm, 5th fret, E A D G B E
The White Stripes,Seven Nation Army ,916,"5,751,042",Tab,intermediate, E,No Capo,E A D G B E
Adele,Make You Feel My Love,"7,226","5,652,621",Chords,intermediate, G, 3rd fret, E A D G B E
Green Day,21 Guns,"2,063","5,648,870",Chords,novice, Dm,No Capo, E A D G B E
Kansas,Dust In The Wind,"1,876","5,572,153",Tab,intermediate, C,No Capo, E A D G B E
Ed Sheeran,Shape Of You ,"1,364","5,542,016",Chords,novice, C#m, 2nd fret, E A D G B E
Frank Sinatra,Fly Me To The Moon ,"6,087","5,525,592",Chords,novice, Am,No Capo, E A D G B E
Of Monsters and Men,Little Talks,"5,192","5,523,828",Chords,novice, Bbm, 1st fret, E A D G B E
Train,Drops Of Jupiter,"4,624","5,471,280",Chords,intermediate, C,No Capo, E A D G B E
Shawn Mendes,Stitches,"2,165","5,463,586",Chords,intermediate, Am, 1st fret, E A D G B E
Jeff Buckley,Hallelujah,"3,073","5,407,779",Chords,novice, Db, 6th fret, E A D G B E
Jeff Buckley,Hallelujah ,"4,109","5,382,323",Chords,novice, C, 5th fret, E A D G B E
Calum Scott,You Are The Reason ,"4,888","5,382,483",Chords,novice, Bb, 3rd fret, E A D G B E
Bob Dylan,Knockin On Heavens Door ,"7,763","5,336,523",Chords,novice, G,No Capo, E A D G B E
Jason Mraz,Lucky,"2,351","5,334,126",Chords,intermediate,Db,No Capo, E A D G B 
Radiohead,Karma Police ,"5,822","5,328,849",Chords,novice, Am,No Capo, E A D G B E
Fiersa Besari,Waktu Yang Salah,330,"5,314,122",Chords,intermediate, C,No Capo, E A D G B E
Bob Marley,Redemption Song ,"4,783","5,290,834",Chords,novice, G,No Capo, E A D G B E
Secondhand Serenade,Fall For You ,"2,469","5,283,675",Chords,novice, Am,No Capo, E A D G B E
Cat Stevens,Father And Son,"8,952","5,276,414",Chords,novice, G,No Capo, E A D G B E
The Neighbourhood,Sweater Weather Acoustic,"6,037","5,255,441",Chords,novice, C, 3rd fret, E A D G B E
Beyoncé,Halo ,"2,926","5,252,368",Chords,intermediate, G, 2nd fret, E A D G B E
David Guetta,Titanium,"1,358","5,202,465",Chords,intermediate, Eb, 3rd fret, E A D G B E
Pink Floyd,Wish You Were Here ,"4,551","5,192,794",Tab,novice, C,No Capo, E A D G B E
Ed Sheeran,The A Team ,"2,842","5,159,267",Chords,intermediate, A, 2nd fret, E A D G B E
Imagine Dragons,Demons,"2,489","5,116,594",Chords,intermediate, D, 1st fret, E A D G B E
Dolly Parton,Jolene ,"12,281","5,091,242",Chords,novice, C#m, 4th fret, E A D G B E
4 Non Blondes,Whats Up ,"8,593","5,085,031",Chords,novice, A, 2nd fret, E A D G B E
Guns N' Roses,Sweet Child O Mine,"2,343","5,078,008",Chords,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Extreme,More Than Words ,924,"5,002,261",Tab,intermediate, F#,No Capo, Eb Ab Db Gb Bb Eb
Ben E. King,Stand By Me,"2,838","5,000,402",Chords,intermediate, A,No Capo, E A D G B E
Deep Purple,Smoke On The Water,843,"4,984,725",Tab,intermediate, Gm,No Capo, E A D G B E
Black Sabbath,Iron Man ,"1,978","4,919,010",Tab,intermediate,Db,No Capo, E A D G B 
Red Hot Chili Peppers,Snow Hey Oh,"1,037","4,886,776",Tab,intermediate, Ebm,No Capo, E A D G B E
James Bay,Let It Go ,"4,422","4,878,097",Chords,novice, G, 6th fret, E A D G B E
MAGIC!,Rude ,"2,205","4,875,223",Chords,novice,Db, 6th fre, E A D G B E
Birdy,Skinny Love ,"4,001","4,874,060",Chords,novice, C#m, 4th fret, E A D G B E
Old Crow Medicine Show,Wagon Wheel,"6,435","4,848,567",Chords,novice,Db, 2nd fre, E A D G B E
Hillsong United,Oceans Where Feet May Fail,"3,924","4,816,826",Chords,intermediate, Bm,No Capo, E A D G B E
Avicii,Wake Me Up ,"1,413","4,809,121",Chords,novice, Bm,No Capo, E A D G B E
Ozzy Osbourne,Crazy Train ,"1,493","4,742,223",Tab,intermediate, A,No Capo, E A D G B E
Bryan Adams,Heaven,"2,628","4,694,640",Chords,intermediate, C,No Capo, E A D G B E
Jason Mraz,Im Yours,211,"4,690,834",Tab,advanced, Bm,No Capo, E A D G B E
Matt Redman,10000 Reasons Bless The Lord,"4,895","4,668,875",Chords,novice, G,No Capo, E A D G B E
A Great Big World,Say Something ,"3,999","4,649,764",Chords,novice, Am, 2nd fret, E A D G B E
Elton John,Your Song,"4,938","4,642,132",Chords,intermediate, Eb, 1st fret, E A D G B E
Gary Jules,Mad World,"7,669","4,613,448",Chords,novice, Em, 1st fret, E A D G B E
Anji,Menunggu Kamu,477,"4,589,646",Chords,novice, C,No Capo, E A D G B E
Avenged Sevenfold,So Far Away,"2,114","4,488,910",Chords,novice, Em,No Capo, E A D G B E
Queen,Love Of My Life,"5,347","4,470,829",Chords,intermediate, F, 3rd fret, E A D G B E
R.E.M.,Losing My Religion,"3,872","4,435,044",Chords,intermediate, Am,No Capo, E A D G B E
JerryC,Canon Rock,805,"4,418,722",Tab,intermediate,Db,No Capo,E A D G B E
Sixpence None the Richer,Kiss Me ,"1,512","4,413,257",Chords,intermediate, D, 1st fret, E A D G B E
Ed Sheeran,Thinking Out Loud ,"3,541","4,396,608",Chords,novice, C, 2nd fret,E A D G B E
Taylor Swift,Teardrops On My Guitar,"2,685","4,388,913",Chords,novice, Bb, 3rd fret, E A D G B E
Oasis,Wonderwall ,"1,057","4,385,035",Chords,intermediate, Em, 2nd fret, E A D G B E
Lukas Graham,7 Years ,"4,206","4,378,504",Chords,novice, Gm, 3rd fret, E A D G B E
Bruno Mars,It Will Rain,"1,897","4,334,264",Chords,novice, C, 2nd fret, E A D G B E
Train,Hey Soul Sister,623,"4,331,540",Chords,intermediat,Db,No Capo,E A D G B E
Queen,Bohemian Rhapsody ,"2,713","4,332,170",Chords,intermediate, G, 3rd fret, E A D G B E
The Beatles,Blackbird ,"3,695","4,307,051",Tab,intermediate, G,No Capo, E A D G B E
The Beatles,Let It Be ,"1,499","4,289,355",Chords,intermediate, C,No Capo, E A D G B E
Taylor Swift,Safe And Sound,"1,666","4,267,528",Chords,novice, Em, 5th fret, E A D G B E
Bright Eyes,First Day Of My Life,"4,936","4,256,284",Chords,novice, C, 4th fret, E A D G B E
The Beatles,Blackbird ,"2,334","4,252,301",Tab,intermediate, G,No Capo, E A D G B E
Tracy Chapman,Fast Car ,"3,133","4,244,311",Chords,intermediate, D, 2nd fret, E A D G B E
Coldplay,Yellow ,"7,914","4,221,597",Chords,novice, G, 4th fret, E A D G B E
Metallica,Nothing Else Matters ,"1,864","4,194,130",Tab,advanced,Db,No Capo, E A D G B 
Simon & Garfunkel,The Sound Of Silence ,"9,500","4,185,983",Chords,novice, Ebm, 6th fret, E A D G B E
Sia,Chandelier ,"3,293","4,180,299",Chords,novice, F, 1st fret, E A D G B E
Taylor Swift,I Knew You Were Trouble,"1,512","4,178,763",Chords,novice,Db, 4th fre, E A D G B E
Queen,Bohemian Rhapsody,"1,677","4,165,302",Chords,advanced, Bb,No Capo, E A D G B E
One Direction,Little Things ,"2,265","4,110,615",Chords,novice, G,No Capo, E A D G B E
Red Hot Chili Peppers,Californication,"3,487","4,078,628",Chords,intermediate, Am,No Capo, E A D G B E
Bruno Mars,The Lazy Song,368,"4,076,879",Chords,intermediate,Db,No Capo, E A D G B 
Jason Mraz,Im Yours ,"1,010","4,072,749",Chords,intermediate, B,No Capo, E A D G B E
Sam Smith,Too Good At Goodbyes,"3,632","4,015,360",Chords,novice, Dm, 5th fret, E A D G B E
Justin Bieber,Baby,576,"4,003,706",Chords,intermediate,Db, 2nd fre, E A D G B E
Taylor Swift,Blank Space,"1,835","3,986,839",Chords,intermediate, F, 3rd fret,E A D G B E
Journey,Dont Stop Believin,"3,179","3,984,418",Chords,novice, E,No Capo, E A D G B E
Aerosmith,I Dont Want To Miss A Thing,"1,012","3,962,737",Chords,novice, D,No Capo, E A D G B E
Lady A (Lady Antebellum),Need You Now,"1,692","3,957,661",Chords,novice, F, 4th fret, E A D G B E
Red Hot Chili Peppers,Californication,367,"3,943,207",Tab,intermediate, Am,No Capo, E A D G B E
Ed Sheeran,Give Me Love ,"2,315","3,935,868",Chords,novice, Am, 2nd fret, E A D G B E
Bastille,Pompeii ,"4,449","3,923,438",Chords,novice, F#m, 2nd fret, E A D G B E
Linkin Park,Numb,"2,918","3,911,757",Chords,intermediate, F#m, 2nd fret, E A D G B E
The Beatles,Hey Jude ,"5,026","3,899,368",Chords,intermediate, D, 3rd fret, E A D G B E
Bruno Mars,The Lazy Song ,"1,316","3,877,516",Chords,intermediate, B, 4th fret, E A D G B E
Maroon 5,Payphone ,340,"3,861,885",Chords,intermediate,Db, 4th fre, E A D G B E
Death Cab for Cutie,I Will Follow You Into The Dark,"1,028","3,852,542",Chords,intermediate,Db,No Capo, E A D G B 
Jeff Buckley,Hallelujah,866,"3,843,979",Tab,novice, C, 5th fret, E A D G B E
The Beatles,Here Comes The Sun ,"3,041","3,815,279",Tab,intermediate, D, 7th fret, E A D G B E
Lifehouse,You And Me,648,"3,786,347",Chords,intermediate,Db,No Capo, E A D G B 
Johnny Cash,Ring Of Fire,"4,536","3,774,968",Chords,intermediate, G,No Capo, E A D G B E
Adam Levine,Lost Stars,725,"3,774,480",Chords,intermediate, F,No Capo, E A D G B E
Hozier,Take Me To Church Acoustic,"4,329","3,737,756",Chords,novice, Em,No Capo, E A D G B E
Bill Withers,Aint No Sunshine,"8,640","3,727,607",Chords,intermediate, Am,No Capo, E A D G B E
Metallica,One,467,"3,704,340",Tab,intermediate, Bm,No Capo,E A D G B E
Green Day,Good Riddance Time Of Your Life ,"2,073","3,699,775",Tab,intermediate, Em,No Capo, E A D G B E
Jimi Hendrix,Purple Haze,"1,051","3,689,739",Tab,intermediate, Ebm,No Capo, E A D G B E
Pixies,Where Is My Mind,"2,485","3,690,317",Chords,intermediate, E,No Capo, E A D G B E
John Denver,Take Me Home Country Roads,"10,284","3,681,662",Chords,intermediate, A, 2nd fret, E A D G B E
Camila Cabello,Havana,"1,580","3,656,706",Chords,novice, Em, 3rd fret, E A D G B E
Mumford & Sons,I Will Wait ,"2,859","3,614,181",Chords,novice, Db, 1st fret, E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow What A Wonderful World ,"1,192","3,596,698",Chords,intermediate,Db, 5th fre, E A D G B E
Carly Rae Jepsen,Call Me Maybe,505,"3,594,314",Chords,intermediate, G,No Capo, E A D G B E
Taylor Swift,Back To December ,"1,512","3,588,272",Chords,novice, D,No Capo, E A D G B E
David Bowie,Space Oddity,"10,957","3,584,734",Chords,intermediate, C,No Capo, E A D G B E
Nirvana,Smells Like Teen Spirit,"1,477","3,568,122",Chords,intermediate, E, 1st fret, E A D G B E
Eric Clapton,Tears In Heaven,"2,794","3,552,126",Chords,intermediate, A,No Capo, E A D G B E
Nirvana,Come As You Are,625,"3,549,516",Tab,intermediate, E,No Capo, D G C F A D
Meghan Trainor,Like Im Gonna Lose You ,"2,473","3,525,582",Chords,novice, C,No Capo, E A D G B E
AC/DC,Back In Black ,247,"3,508,269",Tab,intermediate,Db,No Capo,E A D G B E
U2,With Or Without You,"1,988","3,495,529",Chords,intermediate, D,No Capo, E A D G B E
Taylor Swift,Everything Has Changed,"2,009","3,488,784",Chords,novice, D, 4th fret, E A D G B E
Charlie Puth,One Call Away,"3,195","3,487,862",Chords,intermediate, Db, 1st fret, E A D G B E
Jason Mraz,Im Yours Acoustic,337,"3,460,890",Chords,intermediate,Db, 2nd fre, E A D G B E
Ed Sheeran,Lego House,"1,008","3,454,994",Chords,novice, B, 4th fret, E A D G B E
Metallica,Nothing Else Matters,"1,272","3,452,539",Chords,intermediate, Em,No Capo, E A D G B E
Red Hot Chili Peppers,Cant Stop,"1,212","3,425,172",Tab,intermediate, Em,No Capo, E A D G B E
America,A Horse With No Name,"3,336","3,421,027",Chords,intermediate, Em,No Capo, E A D G B E
Ed Sheeran,Photograph ,"2,933","3,404,035",Chords,novice, C, 4th fret, E A D G B E
Ed Sheeran,Happier,"5,444","3,402,456",Chords,novice, Am,No Capo, E A D G B E
Calum Scott,Dancing On My Own ,"4,519","3,370,573",Chords,novice, C, 1st fret, E A D G B E
Bruno Mars,Count On Me ,"3,769","3,367,695",Chords,intermediate, C,No Capo, E A D G B E
Joseph Vincent,Cant Take My Eyes Off You,"1,836","3,365,163",Chords,intermediate, Db, 1st fret, E A D G B E
Ed Sheeran,Castle On The Hill,"2,034","3,364,785",Chords,novice, D,No Capo, E A D G B E
Red Hot Chili Peppers,Californication ,"1,680","3,356,982",Tab,intermediate,Db,No Capo, E A D G B 
The Animals,House Of The Rising Sun Intro ,"1,292","3,353,796",Tab,intermediate, Am,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine,536,"3,353,211",Tab,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Adele,Make You Feel My Love ,"4,082","3,342,575",Chords,intermediate, G, 3rd fret, E A D G B E
Chris Isaak,Wicked Game,"5,447","3,343,332",Chords,intermediate, Bm,No Capo, E A D G B E
Eagles,Take It Easy ,"5,794","3,340,740",Chords,novice, G,No Capo, E A D G B E
Misc Computer Games,Super Mario Brothers Theme ,"2,095","3,336,400",Tab,intermediate, Em,No Capo, E A D G B E
Christina Perri,A Thousand Years ,"2,744","3,332,492",Chords,novice,Db, 3rd fre, E A D G B E
Bob Marley,Three Little Birds,"3,402","3,324,944",Chords,intermediate, A,No Capo, E A D G B E
Metallica,The Unforgiven ,597,"3,309,677",Tab,intermediate,Db,No Capo, E A D G B 
Passenger,Let Her Go ,"1,269","3,302,811",Chords,novice, G,No Capo, E A D G B E
AC/DC,Thunderstruck,918,"3,289,419",Tab,intermediate, B,No Capo, E A D G B E
Poison,Every Rose Has Its Thorn,"3,095","3,283,053",Chords,intermediate, G,No Capo, Eb Ab Db Gb Bb Eb
Christina Perri,A Thousand Years,"1,874","3,266,520",Chords,novice, Bb, 3rd fret, E A D G B E
Radiohead,Creep,483,"3,257,439",Tab,intermediate, G,No Capo,E A D G B E
Green Day,Wake Me Up When September Ends ,743,"3,242,127",Chords,intermediate, G,No Capo, E A D G B E
Miley Cyrus,The Climb,466,"3,223,025",Chords,intermediate,Db,No Capo, E A D G B 
The Beatles,Across The Universe,"3,062","3,206,672",Chords,novice, D,No Capo, E A D G B E
Labrinth,Jealous ,"1,410","3,194,729",Chords,intermediate, C, 1st fret, E A D G B E
Taylor Swift,We Are Never Ever Getting Back Together,796,"3,193,983",Chords,novice, G,No Capo, E A D G B E
Natalie Imbruglia,Torn,946,"3,183,932",Chords,intermediate, F,No Capo, E A D G B E
Virgoun,Surat Cinta Untuk Starla,377,"3,168,175",Chords,intermediate, G,No Capo, E A D G B E
AC/DC,Back In Black ,"1,201","3,154,677",Tab,intermediate, E,No Capo, E A D G B E
Luis Fonsi,Despacito,"1,332","3,137,526",Chords,novice, Bm,No Capo, E A D G B E
Nirvana,Where Did You Sleep Last Night Acoustic ,"1,992","3,128,942",Chords,intermediate, E,No Capo, Eb Ab Db Gb Bb Eb
Chris Tomlin,How Great Is Our God,"1,226","3,106,842",Chords,intermediate, A, 2nd fret, E A D G B E
Bruno Mars,Count On Me,"1,841","3,103,245",Chords,novice, C,No Capo, E A D G B E
Avicii,Wake Me Up,"2,343","3,103,115",Chords,novice, Bm,No Capo, E A D G B E
Dire Straits,Sultans Of Swing ,925,"3,090,938",Tab,intermediate,Db,No Capo, E A D G B 
John Denver,Take Me Home Country Roads ,"1,840","3,070,493",Chords,intermediate, A,No Capo, E A D G B E
Red Hot Chili Peppers,Scar Tissue ,709,"3,049,091",Tab,intermediate,Db,No Capo, E A D G B 
The Killers,Mr Brightside,"4,202","3,049,394",Chords,intermediate, C#, 1st fret, E A D G B E
Creedence Clearwater Revival,Bad Moon Rising,"6,508","3,041,958",Chords,novice, D,No Capo, E A D G B E
Adam Sandler,Grow Old With You,"1,598","3,039,121",Chords,intermediate, A,No Capo,E A D G B E
Andmesh Kamaleng,Hanya Rindu,250,"3,029,181",Chords,novice, G,No Capo, E A D G B E
Chuck Berry,Johnny B Goode ,800,"3,013,481",Chords,intermediate, Bb,No Capo,E A D G B E
The Beatles,Yesterday ,623,"3,006,889",Tab,intermediate, C,No Capo,E A D G B E
Misc Christmas,Jingle Bells,"1,820","3,006,177",Chords,novice, G,No Capo, E A D G B E
Coldplay,Fix You ,"1,444","3,003,446",Chords,intermediate,Db, 3rd fre, E A D G B E
Nirvana,Heart Shaped Box,955,"3,003,626",Tab,intermediate, Ab,No Capo, Db Ab Db Gb Bb Eb
One Direction,What Makes You Beautiful,269,"2,999,042",Chords,novice, E,No Capo, E A D G B E
Metallica,Seek And Destroy ,994,"2,995,842",Tab,intermediate,Db,No Capo, E A D G B 
Counting Crows,Mr Jones,"3,196","2,995,123",Chords,intermediate, Am,No Capo, E A D G B E
Anda,Menghitung Hari 2 Acoustic,155,"2,982,267",Chords,intermediate, Dm,No Capo, E A D G B E
Vance Joy,Riptide,"7,938","2,980,128",Ukulele,novice, Bbm, 1st fret, G C E A
Judy Garland,Have Yourself A Merry Little Christmas,"3,181","2,977,817",Chords,intermediate, G,No Capo, E A D G B E
Owl City,Fireflies,"1,645","2,976,329",Chords,intermediate,Db,No Capo,E A D G B E
The Calling,Wherever You Will Go,845,"2,969,859",Chords,intermediate, D, 2nd fret, E A D G B E
Misc Soundtrack,A Star Is Born - Always Remember Us This Way,"6,629","2,968,317",Chords,novice, C,No Capo, E A D G B E
Adele,Rolling In The Deep ,"2,262","2,966,850",Chords,novice, Cm, 3rd fret, E A D G B E
Ellie Goulding,Your Song ,"1,961","2,961,938",Chords,novice, Em, 3rd fret, E A D G B E
Parokya ni Edgar,Harana,303,"2,954,789",Chords,intermediate, G,No Capo, E A D G B E
Coldplay,Fix You ,"2,837","2,952,729",Chords,intermediate, C, 3rd fret, E A D G B E
Michael Jackson,Beat It,705,"2,949,345",Tab,intermediate, Em,No Capo, Eb Ab Db Gb Bb Eb
Sam Smith,Stay With Me ,955,"2,938,500",Chords,novice, C,No Capo, E A D G B E
Bryan Adams,Summer Of 69,"2,821","2,915,196",Chords,novice, D,No Capo, E A D G B E
Eagle-Eye Cherry,Save Tonight,"1,288","2,914,070",Chords,intermediate, Am,No Capo, E A D G B E
One Direction,Night Changes,"2,450","2,906,808",Chords,novice, Ab, 1st fret, E A D G B E
